N; Shell Sort {N, 1 / 2}; Shell Sort {N, 5 / 11}; Shell Sort Hibbard; Shell Sort Aka Sedgwick; Shell Sort Pratt; Shell Sort Empirical
1; 0,000010; 0,000010; 0,000009; 0,000010; 0,000009; 0,000016
2; 0,000011; 0,000014; 0,000011; 0,000012; 0,000011; 0,000022
3; 0,000015; 0,000021; 0,000014; 0,000014; 0,000014; 0,000025
4; 0,000015; 0,000029; 0,000015; 0,000014; 0,000015; 0,000026
5; 0,000024; 0,000035; 0,000021; 0,000016; 0,000020; 0,000027
6; 0,000024; 0,000052; 0,000031; 0,000043; 0,000046; 0,000035
7; 0,000026; 0,000043; 0,000025; 0,000032; 0,000029; 0,000036
8; 0,000037; 0,000062; 0,000034; 0,000027; 0,000046; 0,000043
9; 0,000066; 0,000078; 0,000053; 0,000062; 0,000165; 0,000062
10; 0,000066; 0,000080; 0,000066; 0,000070; 0,000096; 0,000063
11; 0,000071; 0,000088; 0,000066; 0,000072; 0,000116; 0,000069
12; 0,000074; 0,000103; 0,000082; 0,000144; 0,000105; 0,000119
13; 0,000082; 0,000100; 0,000080; 0,000094; 0,000129; 0,000088
14; 0,000113; 0,000139; 0,000095; 0,000166; 0,000260; 0,000131
15; 0,000090; 0,000109; 0,000095; 0,000098; 0,000164; 0,000099
16; 0,000159; 0,000137; 0,000106; 0,000175; 0,000220; 0,000143
17; 0,000158; 0,000201; 0,000143; 0,000157; 0,000208; 0,000171
18; 0,000175; 0,000236; 0,000144; 0,000183; 0,000336; 0,000195
19; 0,000282; 0,000247; 0,000164; 0,000154; 0,000332; 0,000153
20; 0,000205; 0,000235; 0,000169; 0,000195; 0,000371; 0,000143
21; 0,000230; 0,000309; 0,000152; 0,000224; 0,000360; 0,000211
22; 0,000235; 0,000273; 0,000240; 0,000249; 0,000416; 0,000165
23; 0,000243; 0,000283; 0,000191; 0,000330; 0,000443; 0,000174
24; 0,000254; 0,000301; 0,000243; 0,000260; 0,000501; 0,000251
25; 0,000350; 0,000305; 0,000269; 0,000372; 0,000529; 0,000298
26; 0,000280; 0,000353; 0,000290; 0,000395; 0,000565; 0,000316
27; 0,000313; 0,000343; 0,000246; 0,000330; 0,000597; 0,000260
28; 0,000374; 0,000424; 0,000354; 0,000340; 0,000571; 0,000316
29; 0,000396; 0,000468; 0,000367; 0,000488; 0,000767; 0,000444
30; 0,000385; 0,000417; 0,000398; 0,000476; 0,000650; 0,000364
31; 0,000375; 0,000481; 0,000447; 0,000506; 0,000786; 0,000455
32; 0,000598; 0,000522; 0,000447; 0,000492; 0,000723; 0,000429
33; 0,000645; 0,000519; 0,000445; 0,000415; 0,000919; 0,000464
34; 0,000638; 0,000526; 0,000537; 0,000585; 0,000951; 0,000467
35; 0,000648; 0,000522; 0,000610; 0,000712; 0,000931; 0,000413
36; 0,000685; 0,000606; 0,000631; 0,000594; 0,000969; 0,000792
37; 0,000698; 0,000756; 0,000689; 0,000605; 0,000991; 0,000539
38; 0,000702; 0,000709; 0,000584; 0,000592; 0,000951; 0,000602
39; 0,000735; 0,000766; 0,000597; 0,000570; 0,001008; 0,000622
40; 0,000736; 0,000811; 0,000647; 0,000648; 0,001126; 0,000563
41; 0,000800; 0,000791; 0,000700; 0,000667; 0,001087; 0,000663
42; 0,000795; 0,000726; 0,000800; 0,000690; 0,001194; 0,000701
43; 0,000730; 0,000844; 0,000823; 0,000760; 0,001210; 0,000715
44; 0,000780; 0,000781; 0,000793; 0,000863; 0,001192; 0,000868
45; 0,000804; 0,000932; 0,000911; 0,000753; 0,001297; 0,000699
46; 0,000895; 0,001023; 0,000775; 0,000876; 0,001457; 0,000984
47; 0,000855; 0,001011; 0,000851; 0,000924; 0,001397; 0,000924
48; 0,001381; 0,001008; 0,000842; 0,000806; 0,001455; 0,000745
49; 0,001179; 0,001058; 0,001037; 0,000822; 0,001478; 0,000854
50; 0,001092; 0,001118; 0,001008; 0,000968; 0,001399; 0,000846
51; 0,001105; 0,001086; 0,000952; 0,000939; 0,001910; 0,000985
52; 0,001042; 0,001224; 0,001112; 0,001028; 0,001602; 0,001006
53; 0,001001; 0,001121; 0,001071; 0,000953; 0,001617; 0,001007
54; 0,001168; 0,001060; 0,001372; 0,001036; 0,001516; 0,001140
55; 0,001161; 0,001137; 0,001070; 0,001044; 0,001709; 0,001092
56; 0,001380; 0,001143; 0,001156; 0,001146; 0,001894; 0,001128
57; 0,001156; 0,001280; 0,001211; 0,001206; 0,001780; 0,001294
58; 0,001329; 0,001361; 0,001335; 0,001352; 0,001978; 0,001249
59; 0,001283; 0,001282; 0,001365; 0,001325; 0,001800; 0,001264
60; 0,001481; 0,001316; 0,001258; 0,001250; 0,001955; 0,001299
61; 0,001397; 0,001369; 0,001423; 0,001395; 0,001961; 0,001369
62; 0,001347; 0,001647; 0,001338; 0,001289; 0,002053; 0,001566
63; 0,001506; 0,001540; 0,001499; 0,001357; 0,002105; 0,001458
64; 0,001883; 0,001556; 0,001556; 0,001296; 0,002172; 0,001369
65; 0,001852; 0,001480; 0,001528; 0,001470; 0,002131; 0,001530
66; 0,001776; 0,001575; 0,001531; 0,001504; 0,002260; 0,001503
67; 0,002016; 0,001795; 0,001725; 0,001527; 0,002209; 0,001623
68; 0,001921; 0,001763; 0,001608; 0,001491; 0,002395; 0,001351
69; 0,001843; 0,001895; 0,001778; 0,001773; 0,002442; 0,001516
